Text,Target,Predicted,Parsed
"user The rare earth business fundamentals are terrible right now and MCP has all sorts of issues on top of that, compelling ?!!!",-1,1,"[('MCP', 'ORG')]"
"WPI - buying looks counter-trend, possible bear wedge, wont be happy if it closes 2-3 days above 50sma, will have to re-evaluate if it does",-1,-1,"[('2-3 days', 'DATE'), ('50sma', 'CARDINAL')]"
fio bouncing some this morning (25% short interest) Still nothing but air till 17.90s  ,-1,-1,"[('fio', 'GPE'), ('some this morning', 'TIME'), ('25%', 'PERCENT'), ('17.90s', 'CARDINAL')]"
Watch NX under 24.70,-1,-1,"[('24.70', 'CARDINAL')]"
AAP Crack nder 480 !!!,-1,1,"[('480', 'CARDINAL')]"
The SPW that we've come to love returns:  now up significantly over FS since we covered last summer,1,1,"[('SPW', 'ORG'), ('FS', 'ORG'), ('last summer', 'DATE')]"
APO Strong push off support (w/volume),1,1,[]
"British Airways In Talks With Union To Suspend Around 32,000 Staff: Report
https://t.co/DJyN10xAmM",-1,-1,"[('British Airways In Talks With Union To Suspend', 'ORG'), ('Around 32,000', 'CARDINAL')]"
SHOT ATI  31.10,-1,-1,"[('SHOT ATI', 'ORG'), ('31.10', 'CARDINAL')]"
"egarding , going into KSS WMT TGT TJX OSS you see so many copycat clothing items, reminds me of COX 70+ ----> Sub 1",-1,1,"[('KSS', 'ORG'), ('COX 70+', 'ORG'), ('1', 'CARDINAL')]"
AA - really liking the scale in entry here - limited downside nice upside,1,1,[]
AAP By By 440!! next 425,-1,-1,"[('AAP', 'ORG'), ('440', 'CARDINAL'), ('425', 'CARDINAL')]"
"Coronavirus Pandemic: Crude Oil Drops Nearly 4% As US Bans Travel From Europe
https://t.co/p2qQXuJRa2",-1,-1,
COST Confirming beautifully here.  52 week high magnet.  Others I like today:  IMM MNX WCG WT  ,1,1,"[('52 week', 'DATE'), ('today', 'DATE'), ('IMM MNX WCG WT', 'ORG')]"
WPI - whoopie - that's the stocks nickname,-1,-1,[]
QCOM Best play on Samsung (Snapdragon) and anti AAP play.  Best tech. play too.  ,1,1,"[('QCOM Best', 'ORG'), ('Samsung', 'ORG'), ('Snapdragon', 'ORG'), ('AAP', 'ORG')]"
"SWI still acting sluggishly but not invalidating yet, hanging in  ",1,-1,"[('SWI', 'ORG')]"
NS Perfect day for a reversal candle on the dailies.,-1,-1,[]
"Growth May Slip Into Negative In Q1: Ex-RBI Governor C Rangarajan On Lockdown
https://t.co/FYfJoMbgSm",-1,-1,"[('C Rangarajan', 'PERSON')]"
Currently long: ANA FB HES BBY WCX VSN,1,1,"[('ANA FB', 'ORG')]"
AAP hit resistance yesterday and continues to roll over - holding short currently  ,-1,-1,"[('AAP', 'ORG'), ('yesterday', 'DATE')]"
"FOD should see a solid move up tom, system predict nice green candle.",1,1,[]
user Time and time again revenues slow down for hot stocks like lulu and they bend over to hide the real cause.,-1,1,"[('Time', 'ORG'), ('lulu', 'GPE')]"
BAC sitting tight on BAC calls!,1,1,"[('BAC', 'ORG')]"
SH going hard ya baby !!!,1,-1,[]
ove the price action so far considering the tensions out there and volatility... GOOG and NKD strutting (long),1,1,"[('NKD', 'ORG')]"
QCO and it went again.,1,-1,"[('QCO', 'ORG')]"
"TIVO holding well above MA(50) 11.60 this morning, I believe it is a long setup",1,1,"[('TIVO', 'ORG'), ('11.60', 'CARDINAL')]"
"Well-wishes: Mr. Hotzeâ€™s caps, hot-sellers online, read: â€˜Make Oil $80/bbl Again.â€™ https://t.co/GyT54ta8Kx",-1,-1,"[('Hotzeâ€', 'PERSON'), ('80', 'MONEY')]"
"RBI Cuts Key Rate To Boost Liquidity, Rs 50,000-Crore Push For Lenders
https://t.co/HG1fgOgbwO",1,1,"[('50,000-Crore', 'MONEY'), ('https://t.co/HG1fgOgbwO', 'PERSON')]"
AAP Follow the downtrend.,-1,-1,"[('AAP', 'ORG')]"
A reminder that HIBB reports on Friday.  See DKS today.,-1,1,"[('HIBB', 'ORG'), ('Friday', 'DATE'), ('See DKS', 'ORG'), ('today', 'DATE')]"
GNW expecting this consolidation flag to resolve soon:  ,1,1,[]
PG short back on,-1,-1,[]
ISG someone got a margin call on this move...Craziness in the market towards the close SPY DIA QQQ could not break through Mon.'s high,-1,-1,"[('ISG', 'ORG')]"
"Green Weekly Triangle on KTOS,....pdating  ",-1,-1,"[('Green Weekly Triangle', 'ORG')]"
user: SHD  could be getting ready for a move to the 200 day   ,1,1,"[('SHD', 'PRODUCT'), ('the 200 day', 'DATE')]"
NKD nov and dec had disease now its the cure - not a believer - shorting,-1,1,"[('NKD', 'ORG'), ('dec', 'PERSON')]"
"F - potential short on bounce OHead resistance at Kirby. Stochastic OB, SI and huge volume exit.  ",-1,-1,"[('Kirby', 'PERSON'), ('OB', 'ORG'), ('SI', 'ORG')]"
"RT @lizrhoffman: Morgan Stanley profits down 30%, the least bad of big banks. But warns it might not meet those financial targets that itsâ€¦",-1,1,"[('RT @lizrhoffman', 'ORG'), ('Morgan Stanley', 'ORG'), ('30%', 'PERCENT')]"
user: AAP finishing wave 3 of decline   I think an error in your calc is incl Einhorn's Pump&Dump,1,1,"[('AAP', 'ORG'), ('3', 'CARDINAL'), ('Einhorn', 'PERSON')]"
AAP  The number one problem is that earnings expectations are way too high and the smart money knows this.  ,-1,-1,"[('AAP', 'ORG'), ('one', 'CARDINAL')]"
"Equity Alpha: user F looks like its bottomed and ready to go over 13. If breaks, look for 14+   ",1,1,"[('F', 'PRODUCT'), ('13', 'CARDINAL'), ('14', 'CARDINAL')]"
"Watch SZYM, nice base, working a bull flag, could get legs to the 200 day ma around 10.30 on b/o  ",1,1,"[('200 day', 'DATE'), ('10.30', 'CARDINAL')]"
NFX as I said before...it feel like another distribution day.....  ,-1,-1,"[('NFX', 'ORG')]"
TSO is on a good upward run but a resistance level has formed at 45.44. Keep it on your radar.   ,1,1,"[('TSO', 'ORG'), ('45.44', 'CARDINAL')]"
TSA having a quiet day after early session dip:  ,1,1,"[('TSA', 'ORG'), ('a quiet day', 'DATE')]"
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1,1,"[('1/2', 'CARDINAL'), ('today', 'DATE'), ('Kirby', 'PERSON'), ('26.00', 'CARDINAL'), ('1/2', 'CARDINAL')]"
For the past 10 years  has posted a Best return: 21% Worst return: -8% during the Jan to Mar option expiration time frame,1,-1,"[('the past 10 years', 'DATE'), ('21%', 'PERCENT'), ('-8%', 'PERCENT'), ('the Jan to Mar', 'DATE')]"
ZNGA BYD MGM These ready to sell yet on the NJ online gambling bill that will fail?,-1,-1,"[('ZNGA BYD MGM', 'PERSON'), ('NJ', 'GPE')]"
"SK Check the intraday, tell me this thing isn't ready to blow up.  Almost 30k shares traded in 1 minute EOD :)",1,1,"[('30k', 'CARDINAL'), ('1 minute', 'TIME'), ('EOD', 'ORG')]"
"AAP once you have the smartphone-mini you can ad as many APPS you want , because you wear it, not stuffed in pocket.. think SII v/comand",1,1,"[('AAP', 'ORG'), ('SII', 'ORG')]"
"#Groupon & #JCPenney taking the hits on the mkt today, down about 24% & 18%.  GPN  JCP",-1,-1,"[('Groupon &', 'ORG'), ('JCPenney', 'ORG'), ('mkt', 'ORG'), ('today', 'DATE'), ('about 24% & 18%', 'PERCENT'), ('GPN', 'PERSON'), ('JCP', 'ORG')]"
ATHX MACD cross down,-1,1,[]
COMPQ SPx AAP C CSCO GM - Wall Street: Futures in red before jobs data   ,-1,-1,"[('COMPQ SPx', 'ORG')]"
CM dollar roll.,-1,-1,[]
iberty Media reports increased stake of 50.25% in SII Breakout watch over 3.19,1,1,"[('iberty Media', 'ORG'), ('50.25%', 'PERCENT'), ('SII', 'ORG'), ('3.19', 'CARDINAL')]"
"Factory Activity Growth Hits 4-Month Low Amid Coronavirus Crisis: Survey
https://t.co/zAVJljFHSw",-1,-1,"[('4-Month', 'DATE')]"
"CX is a good short here at 87.30.  P/E too high, hitting upper trendline  ",-1,-1,"[('CX', 'ORG'), ('87.30', 'CARDINAL')]"
CMCSA Will gap open higher; No idea where 2 enter. Would love 2 get in at 40.28 but may not get it.  ,1,1,"[('CMCSA', 'ORG'), ('2', 'CARDINAL'), ('2', 'CARDINAL'), ('at 40.28', 'DATE')]"
CST nice intraday base here could see a pop here after 10:30 short covering on into the wknd. Valuation cheap. Biz model on track its a GO,1,1,"[('10:30', 'TIME')]"
"Heard on the Street: U.S. stock bulls should take a careful look at China, where the post-coronavirus rebound has bâ€¦ https://t.co/Ct9zPe4ZGG",-1,-1,"[('U.S.', 'GPE'), ('China', 'GPE')]"
"Sensex, Nifty Likely To Open Lower As Markets Resume Trading After Holiday
https://t.co/NwtpXVftK4",-1,-1,
"Grocery Tycoon Kishore Biyani's Battle To Keep His Company Afloat
https://t.co/VDZbhnh1O7",-1,-1,"[('Grocery Tycoon', 'ORG'), ('Biyani', 'PERSON'), ('Battle To Keep His Company Afloat', 'WORK_OF_ART')]"
BBT coiled up after finding support at 50/200 sma's after stress test results.  eports on 4/18  ,1,1,"[('50/200', 'CARDINAL'), ('4/18', 'CARDINAL')]"
AAP starting to look better,1,1,"[('AAP', 'ORG')]"
user: AAP always good to look at all timeframes.   I was looking  2-5-10 and they all said something different O plan around that,1,1,"[('AAP', 'ORG'), ('2', 'CARDINAL')]"
"HCA continued relative strength today, moving to fresh highs  ",1,1,"[('HCA', 'ORG'), ('today', 'DATE')]"
GOOG will add to this short position when breaks 3/18 lows on volume (winning trade)  ,-1,-1,"[('GOOG', 'ORG'), ('3/18', 'CARDINAL')]"
GOOG go ONG on close above 725.,1,1,"[('GOOG', 'ORG'), ('ONG', 'ORG'), ('725', 'CARDINAL')]"
"For those not following MBI, a conservative Fair value in 18 ...25 is realistic ...when they settle w/BAC (soon) it'll get there FAST",1,1,"[('MBI', 'ORG'), ('Fair', 'ORG'), ('18 ...25', 'CARDINAL')]"
user: AAP Treadmill stock. Dare I place 440 call? lots of people betting on 450 next friday,1,1,"[('AAP Treadmill', 'ORG'), ('440', 'CARDINAL'), ('450', 'CARDINAL'), ('next friday', 'DATE')]"
user: AAP stop kidding yourself . there is no support around here,-1,-1,[]
BAC Big Block on 2,1,1,"[('2', 'CARDINAL')]"
"Air Deccan Ceases Operations, All Employees On ''Sabbatical Without Pay''
https://t.co/4GVDLoOJ97",-1,-1,"[('Air Deccan Ceases Operations', 'ORG')]"
"CBK long 6.22, wants back top of range 6.60's ?, hammer off 50sma & 01/31 low, light vol inside day  ",1,1,"[('CBK', 'ORG'), ('6.22', 'DATE'), ('6.60', 'CARDINAL'), ('50sma & 01/31', 'ORG'), ('day', 'DATE')]"
"RT @AmrithRamkumar: Just unreal moves in oil right now after Trump touts supply cuts. Brent rose as much as 47%. Now up 30%:
https://t.co/sâ€¦",-1,-1,"[('Trump', 'ORG'), ('Brent', 'PERSON'), ('as much as 47%', 'PERCENT'), ('30%', 'PERCENT')]"
MGM breakout seems to be holding with support above 13,1,1,"[('MGM', 'ORG'), ('13', 'CARDINAL')]"
"user: OCN trying to go, looking for follow-through I think the follow through is coming. This wants more",1,1,[]
ANN - 200 period - hammering. ooks good. 4 month pattern.   ,1,1,"[('200', 'CARDINAL'), ('ooks', 'PERSON'), ('4 month', 'DATE')]"
AAP down 60 and VXAP down 11. Good that VXAP is not tradable else many would have hedged their AAP shares by going long VXAP.,-1,-1,"[('AAP', 'ORG'), ('60', 'CARDINAL'), ('VXAP', 'ORG'), ('11', 'CARDINAL'), ('VXAP', 'ORG'), ('AAP', 'ORG'), ('VXAP', 'ORG')]"
Estimates to move lower for SAFM after EPS and a trend line break likely today with support at 47  ,-1,-1,"[('SAFM', 'ORG'), ('EPS', 'ORG'), ('today', 'DATE'), ('47', 'CARDINAL')]"
user: NTI buying 8.80 -8.83 - BYING MOE 8.87 -8.90 - magic 9 test,1,1,"[('NTI', 'ORG'), ('8.80', 'CARDINAL'), ('8.87', 'CARDINAL'), ('9', 'CARDINAL')]"
pnra missed this one yest on the short side but will short under 50 sma   ,-1,-1,"[('one', 'CARDINAL'), ('50', 'CARDINAL')]"
AAP will test 430 today,-1,-1,"[('AAP', 'ORG'), ('430', 'CARDINAL'), ('today', 'DATE')]"
"NN average TP is 1,5 Could easily come back to 0,8. HODING ONG",1,1,"[('1,5', 'CARDINAL'), ('0,8', 'CARDINAL'), ('HODING ONG', 'ORG')]"
GS with Fibs & next res pts at 160.69 and 166.06  ,1,1,"[('GS', 'ORG'), ('Fibs & next', 'ORG'), ('160.69', 'CARDINAL'), ('166.06', 'CARDINAL')]"
GPS wow that wa s a fast fast fade...,-1,-1,"[('wa s', 'GPE')]"
V still frustrating me but given its history I will be extraordinarily patient with a winner  ,1,1,[]
"TAB I like this one, down for no real reason, new contracts picking up slack, 2013 is about 'small cell' tech, & Software-As-A-Service!!!",1,1,"[('2013', 'DATE')]"
"FIO No onger A High Flier, But Is The ong-Term Story Intact?  ",1,1,"[('FIO', 'ORG')]"
"Employment Rate Hits All-Time Low In March, Says Think-Tank CMIE
https://t.co/YkS0KF3qYU",-1,-1,"[('March', 'DATE')]"
"ed Weekly Triangle on FT,....pdating,..near to end the trend  ",1,-1,"[('Weekly Triangle on FT,', 'ORG')]"
CT declining 22 % after a dividend cut of 26 %.,-1,1,"[('22 %', 'PERCENT'), ('26 %', 'PERCENT')]"
news on NS?,-1,-1,"[('NS', 'ORG')]"
"RT @Birdyword: The US dollar is the world's unchallenged reserve currency, and the Fed is the world's de facto central bank. During the curâ€¦",-1,1,"[('US', 'GPE'), ('Fed', 'ORG'), ('curâ€', 'PERSON')]"
Are we seeing a minor pullback for NFX or the beginning of a major correction? This investor isn't about to test the water. Still bearish,-1,-1,"[('NFX', 'ORG')]"
JET entry 8.94 stop 8.2  ,1,1,"[('JET', 'ORG'), ('8.94', 'CARDINAL'), ('8.2', 'CARDINAL')]"
user: user: AAP (daily) Three Black Crows and 50 (ema) teaming up**  ,-1,-1,"[('AAP', 'ORG'), ('daily', 'DATE'), ('Three', 'CARDINAL'), ('50', 'CARDINAL'), ('ema', 'ORG')]"
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,1,1,"[('QCOM introduces StreamBoost', 'ORG'), ('up to seven', 'CARDINAL')]"
"G SWHC both breaking up out of similar bull flag patterns, volume light though, so keep that in mind",1,1,[]
SANW to get a management team like this for such a small operation is unusual. Grewal is building a monster in a smart manner.,1,1,"[('SANW', 'ORG'), ('Grewal', 'PERSON')]"
SBX breaking down from ascending channel. 54.57 gap close  ,-1,-1,"[('54.57', 'CARDINAL')]"
Watch CAI under 4,-1,-1,"[('CAI', 'ORG'), ('4', 'CARDINAL')]"
NSPH looks like a possible move to 2.35 ... no pos here,1,1,"[('NSPH', 'PERSON'), ('2.35', 'CARDINAL')]"
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1,-1,"[('Polk', 'PERSON'), ('2013', 'DATE'), ('15.3 Million', 'CARDINAL'), ('F GM', 'ORG')]"
"PX - ong  9.01. Moved the Trailing Stop to 13.30 from 3 Stops of 9.01, 7.78 & 6.55 -  ",1,1,"[('PX', 'ORG'), ('13.30', 'CARDINAL'), ('3', 'CARDINAL'), ('9.01', 'CARDINAL'), ('7.78', 'CARDINAL'), ('6.55', 'CARDINAL')]"
"#Sharemarket LIVE: Sensex off day’s high, up 600 points, #Nifty tests 9,200, #TCS, private bank stocks lead
https://t.co/3xgtLroKUI",1,1,
Investors hope Thursdayâ€™s OPEC+ meeting will signal an end to the Saudi-Russian oil-price war https://t.co/2dXum2tlfY,1,1,"[('Thursdayâ€™s', 'ORG'), ('Saudi-Russian', 'NORP')]"
user: Want to get more short exposure. I like SNDK at long term resistance. Will take 2% position.  ,-1,-1,"[('2%', 'PERCENT')]"
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1,1,"[('DC', 'GPE'), ('58.50', 'CARDINAL'), ('67', 'CARDINAL'), ('53', 'CARDINAL')]"
SPW 1;1.382 14.62 1:1.50 15.24 1:1:618 15.86 Poss Daily Gartley moves,1,1,"[('SPW', 'ORG'), ('14.62', 'CARDINAL'), ('15.86', 'CARDINAL'), ('Poss Daily Gartley', 'ORG')]"
Trading environment favors long side. Don't over stay welcome. Too few quality leaders. GS AMH OCN EGN HOV AAP  ,-1,1,"[('GS AMH OCN EGN HOV AAP', 'ORG')]"
AMZN covered short +1 now long 267.61,1,-1,"[('AMZN', 'ORG'), ('267.61', 'CARDINAL')]"
"Switched my ATHX gains on ASTM. ASTM average TP is 4,07. 1% chance of bankrupcty  ONG",1,1,"[('4,07', 'CARDINAL'), ('1%', 'PERCENT'), ('bankrupcty  ONG', 'ORG')]"
WH gap filled,1,-1,"[('WH', 'ORG')]"
"covered TA short for a nice profit .  Careful about tomorrow, BErnanke and consumer sonfidence numbers.  Pare down positions. SPY",-1,-1,"[('TA', 'ORG'), ('about tomorrow', 'DATE'), ('BErnanke', 'ORG'), ('Pare', 'PERSON')]"
"user hey great call on HPQ, you think funds are buying now O!",1,1,"[('HPQ', 'ORG')]"
Goldman drops EA from conviction-buy to buy  ,-1,-1,"[('Goldman', 'ORG'), ('EA', 'ORG')]"
The first major national election of the coronavirus era offers new avenues to reform Korea Inc. https://t.co/OkGnUj3AY2,1,-1,"[('first', 'ORDINAL'), ('Korea Inc.', 'ORG')]"
HN breakout...but 3rd day up so look for pullback to enter long.  ,1,1,"[('3rd day', 'DATE')]"
NG bearish action today looking like a top as nat gas jumps.,-1,-1,"[('NG', 'ORG'), ('today', 'DATE'), ('nat', 'ORG')]"
BAC user Hope for a consolidation at this level if it drop it will stop to 11 support. Nxt 4-5 day s to come back to12 IMHO.,1,1,"[('11', 'CARDINAL')]"
user edon PEIX has a history of management dropping the ball on runs in the stock price. Hopefully they stay silent this time around,1,1,"[('user edon PEIX', 'ORG')]"
Investors want massive cuts to global oil supply as an initial measure to address the ballooning coronavirus crisis https://t.co/D3DmKTYKRM,-1,-1,[]
shorts on GMN SINA TA working well. Covering CVE.to for a small loss here,-1,1,"[('GMN SINA TA', 'ORG')]"
DN first hint of trendline break to the upside ?  ,1,1,[]
EVC - so close to magic 2.00++++ - ready for a big volume day with great earnings due 3/7 Target 3.00,1,1,"[('EVC', 'PERSON'), ('2.00++++', 'CARDINAL'), ('a big volume day', 'DATE'), ('3/7', 'CARDINAL'), ('Target', 'ORG'), ('3.00', 'CARDINAL')]"
"RT @joannechiuhk: The banks for years rode consumer spending and borrowing to big profits. Now, they are preparing to struggle alongside thâ€¦",-1,-1,"[('years', 'DATE')]"
"DNDN grow wings you pig, 50 million shorts going to start covering soon enough",1,1,"[('DNDN', 'ORG'), ('50 million', 'CARDINAL')]"
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1,1,"[('aapl daily', 'ORG'), ('600', 'CARDINAL')]"
"Sensex Opens Over 500 Points Higher, Nifty Starts Day Near 8,450
https://t.co/2uzIGVXmRn",1,1,[]
"Shorts Tues, most I stalk have 1 - 4 days inside base or bounce after red kicker ACCO BT DMD EY GMX GO HAO NPSP OEH OZM TEO",-1,-1,"[('Shorts Tues', 'PERSON'), ('1 - 4 days', 'DATE'), ('HAO', 'ORG'), ('OZM', 'ORG')]"
"GOOG keep in mind there are about 1,000 contracts offered at 20 in the Apr 850C. Could temporarily create resistance or a sell off",-1,-1,"[('GOOG', 'ORG'), ('about 1,000', 'CARDINAL'), ('20', 'CARDINAL'), ('the Apr 850C.', 'DATE')]"
QIK holding below 26.50 makes sense on the short side,-1,-1,"[('26.50', 'CARDINAL')]"
user: Commented on: Zynga: eady For eal-Money Games And Improving On The Cost Side  ZNGA // #TENDEVESA,1,1,"[('Zynga', 'ORG'), ('TENDEVESA', 'ORG')]"
Equity Alpha: QCOM long watch. New chips and Internet Everywhere appealing. B/O  65.70 Tgt 67.50   ,1,1,"[('QCOM long watch', 'ORG'), ('65.70', 'CARDINAL'), ('67.50', 'CARDINAL')]"
SSYS postpone Q4 release from Feb to approx March 4th.,-1,1,"[('SSYS', 'ORG'), ('Feb', 'DATE'), ('March 4th', 'DATE')]"
Heard on the Street: The earnings hit for S&amp;P 500 companies will likely be much bigger than they are guessing https://t.co/Wesotl6Rwc,-1,-1,"[('500', 'CARDINAL'), ('https://t.co/Wesotl6Rwc', 'ORG')]"
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1,1,"[('day', 'DATE')]"
AAP  -  Apple may introduce the next iPhone and iPad in April  ,1,1,"[('AAP', 'ORG'), ('Apple', 'ORG'), ('iPad', 'ORG'), ('April', 'DATE')]"
"CST Coinstar option trader buys 5,700 Feb call spreads betting on good earnings  ",1,1,"[('5,700', 'CARDINAL')]"
eading stocks continue to breakdown even though major indexes one day off multi year highs. TO EXP SODA KOS Y KBH AD OAS FB,-1,-1,"[('one day off multi year', 'DATE'), ('OAS', 'ORG')]"
FOM A break above the neckline would give a measured move target of nearly 5.85.  ,1,1,"[('nearly 5.85', 'CARDINAL')]"
"user good, because that is what I did today, it is in a green weekly triangle since Jan 23 SNSS",-1,-1,"[('today', 'DATE'), ('weekly', 'DATE'), ('Jan 23', 'DATE'), ('SNSS', 'ORG')]"
"user EPS is a South African payment system company... not really the same as KCG, not even technically... DONT BY!",-1,-1,"[('EPS', 'ORG'), ('South African', 'NORP'), ('KCG', 'ORG')]"
NFX uggh! the one put (May 2013) I had might get wiped out - to exit of double down?,-1,-1,"[('NFX', 'ORG'), ('May 2013', 'DATE')]"
RT @kosakunarioka: SoftBank Group Abandons Tender Offer for Up to $3 Billion of WeWork Shares https://t.co/KdplPZNs8q via @WSJ,-1,-1,"[('RT @kosakunarioka', 'PERSON'), ('SoftBank Group', 'ORG'), ('$3 Billion', 'MONEY')]"
"emember how ZAGG sued a bunch of critics for eg defamation? Theyve gone further now, responses to discovery are a total joke.Short it to 0",-1,1,"[('emember', 'WORK_OF_ART'), ('ZAGG', 'ORG'), ('0', 'CARDINAL')]"
"AAP Almost every long will want to goo out for the Week-End, Nobody wnat to be caught 350-400 for months...",-1,-1,"[('AAP', 'ORG'), ('350-400', 'CARDINAL'), ('months', 'DATE')]"
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",1,1,"[('60/80', 'CARDINAL')]"
RT @sarahtoy17: The coronavirus pandemic is turning oil markets upside down. https://t.co/SKuxRyyP3Y,-1,-1,[]
VXY ZB_F reversal - #FED distributing cash to banks GS JPM MS BAC,-1,1,"[('VXY ZB_F', 'ORG'), ('FED', 'ORG'), ('GS JPM MS', 'ORG')]"
SHOT Setups: AX CT WFM BID ICE QCOM WYNN AF DNB  ,-1,-1,"[('SHOT Setups:', 'ORG'), ('WFM BID', 'ORG'), ('QCOM WYNN AF', 'ORG'), ('DNB', 'ORG')]"
GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,1,1,"[('GOOG', 'ORG'), ('Fibonacci', 'PERSON'), ('739', 'CARDINAL'), ('127.2%', 'PERCENT'), ('766', 'CARDINAL'), ('161.8%', 'PERCENT'), ('802', 'CARDINAL')]"
HT closed > 200 sma (barely) for 3rd time since Oct- eps out of the way- watch for volume > 55  ,1,1,"[('HT', 'ORG'), ('200', 'CARDINAL'), ('3rd', 'ORDINAL'), ('55', 'CARDINAL')]"
DNDN Good place to lock in (some) profit at  7.20  p 20% since alert at 6.00 from Feb. 4th   ,1,1,"[('7.20', 'CARDINAL'), ('20%', 'PERCENT'), ('6.00', 'CARDINAL'), ('Feb. 4th', 'DATE')]"
"AAP has 939M shares, GOOG has 329M shares MSFT has 8.38B shares so close to = share price puts Goog around 285, AAP 425, MSFT 271",1,-1,"[('AAP', 'ORG'), ('939M', 'ORG'), ('GOOG', 'ORG'), ('329', 'CARDINAL'), ('285', 'CARDINAL'), ('425', 'PRODUCT'), ('271', 'CARDINAL')]"
BAC still see this getting back to 10.50 possibly lower when the overall market pulls back next month.,-1,1,"[('BAC', 'ORG'), ('10.50', 'CARDINAL'), ('next month', 'DATE')]"
"RT @NickTimiraos: Businesses, not governments, have a huge say in how economies reopen after the pandemic recedes https://t.co/wfRNRsokN4",1,-1,[]
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1,1,"[('AXA Here', 'ORG'), ('the day', 'DATE')]"
"Morgan Stanleyâ€™s results fell just shy of projections by analysts, who had revised their estimates downward as theâ€¦ https://t.co/vGv8FsK57t",-1,-1,"[('Morgan Stanleyâ€™s', 'ORG')]"
"Coronavirus Crisis: Fitch Lowers 2020-21 India Growth Forecast To 5.1%
https://t.co/EvQBt1DCZ8",-1,-1,"[('Fitch Lowers', 'ORG'), ('India Growth Forecast To', 'EVENT'), ('5.1%', 'PERCENT')]"
"ES_F ule of thumb is that former momo names need 3 years to reset from top to the next bottom, former popped junk like NFX best short",-1,-1,"[('3 years', 'DATE'), ('NFX', 'ORG')]"
"TWX - ong  38.59. Trailing Stop  44.71 from 4 prior Stops of 42.61, 41.06, 37.08 and 35.57 -  ",1,1,"[('TWX - ong', 'PERSON'), ('38.59', 'CARDINAL'), ('44.71', 'CARDINAL'), ('4', 'CARDINAL'), ('42.61', 'CARDINAL'), ('41.06', 'CARDINAL'), ('37.08', 'CARDINAL'), ('35.57', 'CARDINAL')]"
user: AAP cool comparisson between Galaxy S4 and Note 2  whatever the rules BTW Here is hoping for more action today !,1,1,"[('AAP', 'ORG'), ('S4', 'PRODUCT'), ('2', 'CARDINAL'), ('today', 'DATE')]"
CM continues to move up nicely  ,1,1,[]
GOOG holding up well,1,1,"[('GOOG', 'ORG')]"
"user 5 stocks i've been buying at 50 with hopes for 70, SBX KOS PANW EBAY HAIN - AM I diversified? Will i see 70 this year?",1,1,"[('5', 'CARDINAL'), ('50', 'CARDINAL'), ('70', 'DATE'), ('SBX KOS', 'PERSON'), ('70 this year', 'DATE')]"
guess what happens to those chasing SYNM...,-1,1,[]
QCO new hod nice - holding overnight to 34,1,1,"[('QCO', 'ORG'), ('hod', 'ORG'), ('34', 'CARDINAL')]"
Why would anyone buy AX's overpriced services when there are many more high-quality alternatives that essentially cost half the price?,-1,1,"[('AX', 'ORG'), ('half', 'CARDINAL')]"
ASTX perfect follow through day...   ,1,-1,"[('ASTX', 'ORG')]"
i wonder what metric Elon Musk will try to get analysts to focus on as it matures and grows as a public company ...#notacarcompany tsla,1,1,"[('Elon Musk', 'PERSON')]"
E  ready to break key resistanec at 65  ,1,1,"[('65', 'CARDINAL')]"
There is profit in social gaming...ask my pal user founder of user  (how is that user an advisor .... ) EA,1,1,"[('EA', 'ORG')]"
"user: AAP, simplest answer is  the right one (Occam razor). why apple keep going to south? no buyers until turn around of some sort",1,-1,"[('AAP', 'ORG')]"
AAP Dump in progress by Fund Managers 25% Done.....,-1,-1,"[('Fund Managers', 'ORG'), ('25%', 'PERCENT')]"
The government raised the interest rate it will pay lenders under an emergency loan program to make it more appealiâ€¦ https://t.co/LMvOPHTA6q,1,1,[]
"TEX another nice bull flag, watch for the MACD to signal next breakout  ",1,1,"[('TEX', 'ORG')]"
GOOG pulling back in very light volume. Note the weekly.,1,-1,"[('GOOG', 'ORG'), ('weekly', 'DATE')]"
Investors into GD SV PA PTM stocks in GDX GDXJ GT GDX ING GGGG SWC PG PA and GOO AY H NEM AEM ABX pay SDIV,1,1,"[('GD SV PA', 'ORG'), ('PTM', 'ORG'), ('GDX', 'ORG'), ('GDX ING GGGG SWC PG PA', 'ORG'), ('GOO AY H NEM AEM ABX', 'PERSON')]"
"user are you saying ZAGG will up another 23%, how?",-1,1,"[('ZAGG', 'PERSON'), ('another 23%', 'PERCENT')]"
user fonr is a strong buy based on my fundamental work,1,1,"[('fonr', 'PERSON')]"
"G same story, moving in tandem here  ",1,1,[]
MTG Cant wait to pull the trigger on that one!!!!,-1,-1,"[('MTG', 'ORG')]"
